"","cra","aceE","phoB","cyoA","amtB","appY","citC","dpiB","dpiA","fur","modE","hcp","cydD","lrp","ihfB","aspC","hyaA","hyaB","hyaF","appB","appA","narL","hns","fnr","ydeO","ihfA","btsR","cirA","narP","iscR","gutM","rpoS","rpoD","exuT","mdh","fis","crp","rpoH","gadX","cspA","oxyR","soxS","dcuR","arcA"
"1",7.697990761,10.65130659,5.599989457,11.25400929,5.128441297,5.919467774,0,4.323397463,4.761679495,9.737594778,6.345706149,1.622481152,5.417136095,9.849326335,9.64586071,10.11475756,1.419381482,1.543856779,2.607616752,4.278364801,4.560975712,7.357715846,11.90508885,9.890570861,2.096840793,9.513966037,5.258820408,8.161481632,5.715346164,8.762186595,2.820022108,9.840497259,9.486455052,4.076480454,11.74528892,8.936196031,9.66641629,8.725102185,8.614542261,7.743336386,8.209080835,6.230069284,5.752131211,9.547993066
"2",7.581105275,10.76148401,5.746618909,11.43142931,5.614178571,5.628822979,0,4.706430177,4.930888441,9.784891731,6.624019157,1.291741237,5.613583588,9.8218731,9.193787368,10.38862345,1.650181268,1.223096692,2.11978096,4.348026849,4.435435671,7.458425647,11.59131419,9.960926819,2.253174083,9.13658,5.096894398,8.161535398,5.216089421,8.381196241,2.316504452,9.867416298,9.581225863,4.166065349,11.84316869,8.601549456,9.621357979,8.769578669,8.456628939,7.474558066,8.417560995,6.104496759,5.667736114,9.560288983
"3",6.395808437,12.10994673,6.009649762,9.937863262,3.866720623,5.789442289,0,4.776287716,5.291245087,9.381882209,6.525433529,3.389177111,5.859722189,9.585671078,9.703506206,9.49681943,1.603224351,2.241987726,3.107386143,6.88283033,7.63803049,8.128928959,11.76412223,9.807282708,1.675383603,9.686716189,4.275285037,9.724004793,5.090162901,10.6504657,2.953287678,11.60445415,10.12072458,4.897164006,11.16619383,7.013285457,9.76160537,9.649580948,8.391347004,3.629758872,7.841488687,8.009046609,5.725878329,10.73747755
"4",6.36686546,11.99299572,6.131476751,9.838573291,3.666917158,5.49667431,0.37777131,4.659629538,5.366083744,9.468695733,6.641006232,3.517898099,6.033807372,9.414905816,9.755097701,9.226698113,1.938464138,2.033294871,3.130415881,7.082456864,7.682362299,8.063063786,11.78912964,9.83464859,0.873182236,9.606358661,3.914789828,8.950847528,4.979840509,10.89047939,3.415246193,11.5909947,10.0789109,4.999868882,11.03061717,7.078497449,9.706963945,9.74605936,8.18020437,4.538548604,7.754378181,8.172509178,5.470772729,10.78861259
"5",7.315203568,10.56982431,5.158323598,11.27298588,6.146376696,5.275277996,0.19083668,4.332368668,4.786445574,9.779252503,5.969754946,1.666870417,5.419610005,9.884933401,9.751882242,10.06948178,1.050183318,1.626624694,2.109642437,4.082325503,4.602520145,7.316672846,11.32373824,9.420261261,1.46899089,9.664120746,4.830131939,6.290012942,5.720859689,8.033244257,2.934375996,9.582787784,9.095503833,3.660715615,11.42351712,9.878378526,9.692444984,8.226875134,8.142990255,7.14775717,7.979420518,6.161353482,5.738661999,9.470078646
"6",7.360938045,10.50299825,5.248837637,11.34608658,5.674282531,5.434044813,0,4.344652168,4.429939328,9.91051951,5.989830014,1.591162085,5.246740913,9.927703997,9.835910158,9.910952305,1.170977702,1.242874313,2.159590409,3.951790791,4.571670207,7.35401418,11.32939887,9.435443808,1.994785691,9.592043674,4.891341787,5.988980839,5.55151547,7.884529336,2.424549482,9.53000188,9.064316904,3.744256643,11.47020896,9.935850312,9.764352768,8.234107184,8.137835936,7.313195699,7.871566477,6.173333563,5.734791737,9.423209214
"7",6.475133438,12.0480226,5.747059518,10.70634443,3.263251048,5.629262877,0.177145435,4.650157175,5.158754283,1.161215177,6.405841066,1.705141293,5.896975365,10.15816645,9.760298105,9.378619361,1.513331998,2.233634163,3.153725577,6.871501814,7.349894962,7.892457121,12.05831248,9.723958023,1.668109924,9.427973347,4.363959147,9.695074131,4.722036707,10.52497646,2.835471404,11.19050567,9.781587927,4.869341893,11.0731784,7.682796985,9.579017825,9.512668476,8.974779899,6.224415226,7.743997271,7.290270479,5.539805045,10.72806137
"8",7.334266617,10.92115098,5.769480342,11.04188152,4.776927212,6.198587053,0,4.758550099,4.753729445,9.244268312,6.296474462,1.752686479,5.600908969,10.12155489,9.531370434,10.09789585,1.6322034,2.492991994,3.145450249,5.992956123,6.213516099,8.064401149,11.84759247,9.608020502,7.020622549,9.755964189,5.152846499,5.784636429,6.03881293,8.513553231,3.209778407,10.13533912,9.367756117,4.272943069,11.56034899,8.998182563,10.12007031,8.873969473,9.235350839,4.886248009,8.055967108,6.570975323,5.551034078,10.56506269
"9",7.296774716,10.94838045,5.963673942,11.09705911,4.879000498,6.119715568,0.366292535,4.566907241,4.619696329,9.233931966,6.398852993,1.464526784,5.664894103,10.17465878,9.614866962,10.13156555,1.791592056,2.63363304,3.335575258,5.879788878,6.299627714,7.982247207,11.86408529,9.571853996,7.118218452,9.619841722,5.010454169,5.862612237,5.929644538,8.501443737,2.390520368,10.10871555,9.385570056,4.353551122,11.52636554,9.080215824,10.10948397,8.723244069,9.170660134,5.022226563,8.058201937,6.616156274,5.551300084,10.5538542
"10",7.425441871,10.84622496,5.992085505,11.03785474,4.35941082,6.063491794,0,4.482841902,4.878398935,9.413679238,6.28983851,1.804350685,5.734345652,10.26881226,9.721667006,9.94303207,1.838689027,2.152303021,3.405915562,5.76176101,5.988199905,7.840968744,11.99197881,9.469887424,7.607254483,10.15908207,5.210460701,5.047239535,5.814274369,8.12240652,2.746413314,9.914324005,9.270916265,4.22962122,11.43199009,9.401239862,10.12867889,8.727553446,0,6.321770198,7.986306415,6.863477804,5.546805056,10.33009999
"11",7.428245154,10.84482869,5.580946204,11.28447665,4.613374806,5.906129292,0,4.536796012,5.10720103,9.405462358,6.091063426,1.406699055,5.756908909,10.25674361,9.537523566,10.09749748,1.455158627,2.328071107,3.047465172,5.683721089,6.181553762,8.052607843,11.98802573,9.60983703,7.620998138,9.52099303,4.930423261,4.620047103,5.954701393,8.406927288,2.257883022,9.967761485,9.364805857,4.000617948,11.61591191,9.422969923,10.16625314,8.799023465,0,5.913033923,7.832457966,6.712147754,5.741272025,10.36531001
"12",7.234869969,10.7519566,6.047234582,11.11878081,4.847314717,6.140357499,0.195229051,4.841296651,4.941532916,9.282958587,6.320825362,1.648887258,5.618544154,10.13548018,9.520872587,10.22482816,1.904141869,2.676038197,3.205610372,5.812609024,6.212128859,8.077008276,11.92069101,9.545358334,7.270519251,9.300833209,5.201255694,3.461932472,6.07185324,8.506544535,2.707372782,10.05086784,9.289024942,4.042485127,11.65587465,9.262964478,10.12654013,8.671680854,9.560437187,5.364378571,7.910952053,7.128759128,5.789850411,10.46556045
"13",7.391012278,10.74078012,5.957906283,11.10032358,4.771419268,6.314159713,0,4.529581254,4.816779904,9.323875463,6.379580937,1.489466892,5.708800592,10.10146059,9.606523461,10.02219113,1.944032813,2.557403029,2.993134331,5.838705596,6.296301828,8.101407805,11.90018569,9.599254923,7.301582948,9.640937649,4.973306798,3.62089105,5.876413378,8.323550798,1.073415083,10.02103851,9.387303031,4.255082679,11.65389458,9.064709358,10.13176331,8.828617155,9.528986511,5.029972477,7.946998881,7.144272048,5.61789853,10.50322299
"14",6.406131308,11.20888408,6.003923049,9.608271914,4.256193821,4.640081234,0.26528669,4.88208922,5.318562377,9.864094055,7.289829096,2.324996515,5.732417605,9.893301986,9.649397145,10.14072957,1.541317257,2.403722642,3.243336043,5.765609502,6.926663016,8.50385042,12.46935981,9.934305703,0.880776205,10.1447551,4.444632023,10.09825398,5.976984281,8.626979753,4.231346571,12.46087839,9.875931189,5.204924502,12.08761385,6.036218735,9.902665575,10.13273581,7.447688913,1.584905654,8.693739334,12.96391508,5.563756725,11.94073749
"15",6.428956582,11.1298724,6.2315686,9.669949308,3.705829612,4.801754727,0,4.970436207,5.397303183,9.946980344,7.138825456,1.34615159,5.578135995,9.937778067,9.945262378,9.422095236,1.626618561,2.259967886,2.941469927,5.921029824,6.928916766,8.641809766,12.41510943,9.793484375,0.354583859,10.48369965,4.54895183,10.03361056,5.467199136,8.583655204,3.460861402,12.1991328,9.817866708,5.376935998,12.16324719,5.978728205,9.971403931,10.31066994,7.38593677,1.578586884,8.753954878,12.9596493,5.733025798,11.91762453
"16",7.245741527,10.89106748,6.202287887,10.35240713,4.275585587,5.273669738,0.273318635,5.013474622,5.801900173,10.28670591,7.089357841,1.453009591,6.124763502,10.1787887,9.631910456,10.01372528,1.366970904,2.596980698,3.28559929,5.30264947,6.631312521,8.434107085,12.5386539,10.05127364,0.659517203,10.40227477,4.509230903,10.01224075,6.259845862,8.799138399,3.587889178,11.96736135,10.08223587,4.642749359,12.05559984,6.246721955,10.21656096,9.973706131,7.960784115,3.041284577,0.566741924,13.30626295,5.748059582,11.92816215
"17",7.43480488,10.82964502,6.137813805,10.40066827,4.233969371,5.152369068,0.235670913,4.805744317,5.811514917,10.23704799,7.095067303,1.095756799,5.987598888,10.22625704,9.991238401,9.611839069,1.744706986,2.461017938,3.41074777,5.436780031,6.653830409,8.445600244,12.62774208,10.08242153,1.571545706,10.42673923,4.398384698,9.881140313,5.984453359,8.881534452,3.96251055,11.88866431,9.989137638,4.619707912,12.04469381,7.04068488,10.25278248,10.06258387,7.980921536,3.733972587,0.690677808,13.43580595,6.054920045,11.92042869
"18",7.407469157,10.60822313,6.293271799,10.84313032,11.91108046,6.421042514,0.330578307,4.753889502,5.505491053,10.08746169,6.527004901,1.989369917,5.876352747,10.0155376,9.466141439,9.605744547,2.219037354,2.068155573,3.160979114,5.511443388,6.202644717,7.25319578,11.59238461,9.747129099,1.281565892,9.543899046,4.396819686,6.694681223,5.428271213,9.171081543,2.964455227,11.66023072,9.528345062,5.262120116,10.7531565,7.141066936,9.422073763,9.375664353,9.386316836,4.33151165,7.851120527,10.76940646,5.294190293,10.08181532
"19",7.209458992,10.57829125,6.351667529,10.82235144,11.9496504,6.254699059,0.342886999,4.84567479,5.444048762,9.89374573,6.461345321,2.357994421,5.876431643,10.06306387,9.552197104,9.551947006,2.603688134,2.484033659,3.264211159,5.606781748,6.184948282,7.166223043,11.57741033,9.73582683,1.316668328,9.545745518,4.31708763,6.678854884,5.594704701,9.152788732,3.385899413,11.66012477,9.521987646,5.351011325,10.74569013,7.342353292,9.445369438,9.329873453,9.303216051,5.861550982,7.953879034,10.62851945,5.323706267,10.0457114
"20",7.535412357,10.56521806,5.789268516,10.77315608,12.62795737,5.051969989,0,4.571398244,4.935154131,10.12228549,6.663802102,1.247878303,5.441175874,9.894508555,9.856961512,9.865314732,1.473346963,2.00321646,2.576249708,4.740316961,5.237858902,7.418152113,11.76741946,9.684536139,1.85117183,9.66911305,4.28765094,8.590182016,5.22320319,9.134393695,2.703112672,10.74797652,9.408989202,4.291789561,11.21126758,7.777714724,9.468670237,9.199980836,7.844592878,5.685852543,8.045654747,10.23111098,5.365095848,9.764257844
"21",7.423070752,10.5711038,5.822198818,10.8033784,12.5639492,5.140899634,0,4.50550463,5.19177187,10.09018395,6.581713725,1.425641267,5.591163991,9.917262253,10.02030218,9.877398445,1.103932249,1.481780389,2.699326167,4.629680664,5.314145242,7.47071553,11.93791227,9.791568964,1.087322005,9.557888022,4.259445418,8.558142663,5.131382544,9.157602386,1.755883861,10.70651835,9.442706066,4.259617838,11.2158017,7.858688074,9.468184736,9.221682667,7.942192085,4.395871191,8.066540069,10.34012504,5.299671127,9.753885678
"22",7.632971503,10.95175041,6.025894756,10.74309881,13.32612886,5.894492868,0,4.867447982,4.986282173,9.584845158,6.63238586,1.577966251,5.567928285,9.88338648,10.31366196,9.854870276,1.975314222,1.904690571,2.5307714,5.655885512,6.461924425,7.606715409,12.11966102,9.758385781,0.621062169,9.743920962,4.387304386,5.120152003,5.559897969,8.268919448,2.967667575,10.92791712,9.446950539,4.939333126,11.26371293,7.45897566,9.723333225,9.449628766,9.409103773,4.986026116,8.14392103,7.075596436,5.738226157,10.4220642
