cra,aceE,phoB,cyoA,amtB,appY,citC,dpiB,dpiA,fur,modE,hcp,cydD,lrp,ihfB,aspC,hyaA,hyaB,hyaF,appB,appA,narL,hns,fnr,ydeO,ihfA,btsR,cirA,narP,iscR,gutM,rpoS,rpoD,exuT,mdh,fis,crp,rpoH,gadX,cspA,oxyR,soxS,dcuR,arcA
"[0,7.85043]","(10.0439,12.4237]","(5.09517,6.35858]","(9.60225,12.0172]","[2.22166,11.0072]","[0,5.92517]","[0,0.250154]","[3.24622,4.72992]","[3.60376,5.042]","(9.62257,11.4265]","(6.25877,7.28983]","[0.338448,3.36855]","[4.30164,6.1255]","(9.64374,10.8457]","(9.61875,10.9771]","(9.52198,11.5597]","[0,1.47387]","[0,1.75461]","[0.554317,2.87897]","[1.93695,4.64679]","[2.63871,5.21739]","[5.9364,7.45799]","[10.7926,12.0438]","(8.99123,11.0139]","[0,2.33789]","[8.29342,9.98116]","(5.24522,7.15979]","[2.87172,8.32327]","[4.26559,6.36451]","(7.25661,11.2234]","[0,3.54291]","[8.18493,10.5117]","(9.25642,10.7705]","[2.78094,4.15961]","(10.9332,13.2667]","(8.01235,10.7686]","[9.01258,10.09]","(8.49909,10.3107]","[0,8.90095]","(5.91147,14.5481]","[0.566742,8.25853]","(6.00141,13.4358]","[3.5907,6.0684]","[8.33287,10.0446]"
"[0,7.85043]","(10.0439,12.4237]","(5.09517,6.35858]","(9.60225,12.0172]","[2.22166,11.0072]","[0,5.92517]","[0,0.250154]","[3.24622,4.72992]","[3.60376,5.042]","(9.62257,11.4265]","(6.25877,7.28983]","[0.338448,3.36855]","[4.30164,6.1255]","(9.64374,10.8457]","[8.02899,9.61875]","(9.52198,11.5597]","(1.47387,8.61198]","[0,1.75461]","[0.554317,2.87897]","[1.93695,4.64679]","[2.63871,5.21739]","(7.45799,8.66015]","[10.7926,12.0438]","(8.99123,11.0139]","[0,2.33789]","[8.29342,9.98116]","[3.33337,5.24522]","[2.87172,8.32327]","[4.26559,6.36451]","(7.25661,11.2234]","[0,3.54291]","[8.18493,10.5117]","(9.25642,10.7705]","(4.15961,8.60088]","(10.9332,13.2667]","(8.01235,10.7686]","[9.01258,10.09]","(8.49909,10.3107]","[0,8.90095]","(5.91147,14.5481]","(8.25853,9.39544]","(6.00141,13.4358]","[3.5907,6.0684]","[8.33287,10.0446]"
"[0,7.85043]","(10.0439,12.4237]","(5.09517,6.35858]","(9.60225,12.0172]","[2.22166,11.0072]","[0,5.92517]","[0,0.250154]","(4.72992,5.38433]","(5.042,5.81151]","[1.16122,9.62257]","(6.25877,7.28983]","(3.36855,8.33007]","[4.30164,6.1255]","[7.92282,9.64374]","(9.61875,10.9771]","[8.44177,9.52198]","(1.47387,8.61198]","(1.75461,9.23914]","(2.87897,8.85131]","(4.64679,8.88461]","(5.21739,8.03629]","(7.45799,8.66015]","[10.7926,12.0438]","(8.99123,11.0139]","[0,2.33789]","[8.29342,9.98116]","[3.33337,5.24522]","(8.32327,13.1447]","[4.26559,6.36451]","(7.25661,11.2234]","[0,3.54291]","(10.5117,12.4609]","(9.25642,10.7705]","(4.15961,8.60088]","(10.9332,13.2667]","[5.80277,8.01235]","[9.01258,10.09]","(8.49909,10.3107]","[0,8.90095]","[0,5.91147]","[0.566742,8.25853]","(6.00141,13.4358]","[3.5907,6.0684]","(10.0446,12.2566]"
"[0,7.85043]","(10.0439,12.4237]","(5.09517,6.35858]","(9.60225,12.0172]","[2.22166,11.0072]","[0,5.92517]","(0.250154,3.37409]","[3.24622,4.72992]","(5.042,5.81151]","[1.16122,9.62257]","(6.25877,7.28983]","(3.36855,8.33007]","[4.30164,6.1255]","[7.92282,9.64374]","(9.61875,10.9771]","[8.44177,9.52198]","(1.47387,8.61198]","(1.75461,9.23914]","(2.87897,8.85131]","(4.64679,8.88461]","(5.21739,8.03629]","(7.45799,8.66015]","[10.7926,12.0438]","(8.99123,11.0139]","[0,2.33789]","[8.29342,9.98116]","[3.33337,5.24522]","(8.32327,13.1447]","[4.26559,6.36451]","(7.25661,11.2234]","[0,3.54291]","(10.5117,12.4609]","(9.25642,10.7705]","(4.15961,8.60088]","(10.9332,13.2667]","[5.80277,8.01235]","[9.01258,10.09]","(8.49909,10.3107]","[0,8.90095]","[0,5.91147]","[0.566742,8.25853]","(6.00141,13.4358]","[3.5907,6.0684]","(10.0446,12.2566]"
"[0,7.85043]","(10.0439,12.4237]","(5.09517,6.35858]","(9.60225,12.0172]","[2.22166,11.0072]","[0,5.92517]","[0,0.250154]","[3.24622,4.72992]","[3.60376,5.042]","(9.62257,11.4265]","[5.418,6.25877]","[0.338448,3.36855]","[4.30164,6.1255]","(9.64374,10.8457]","(9.61875,10.9771]","(9.52198,11.5597]","[0,1.47387]","[0,1.75461]","[0.554317,2.87897]","[1.93695,4.64679]","[2.63871,5.21739]","[5.9364,7.45799]","[10.7926,12.0438]","(8.99123,11.0139]","[0,2.33789]","[8.29342,9.98116]","[3.33337,5.24522]","[2.87172,8.32327]","[4.26559,6.36451]","(7.25661,11.2234]","[0,3.54291]","[8.18493,10.5117]","[8.24745,9.25642]","[2.78094,4.15961]","(10.9332,13.2667]","(8.01235,10.7686]","[9.01258,10.09]","[7.85703,8.49909]","[0,8.90095]","(5.91147,14.5481]","[0.566742,8.25853]","(6.00141,13.4358]","[3.5907,6.0684]","[8.33287,10.0446]"
"[0,7.85043]","(10.0439,12.4237]","(5.09517,6.35858]","(9.60225,12.0172]","[2.22166,11.0072]","[0,5.92517]","[0,0.250154]","[3.24622,4.72992]","[3.60376,5.042]","(9.62257,11.4265]","[5.418,6.25877]","[0.338448,3.36855]","[4.30164,6.1255]","(9.64374,10.8457]","(9.61875,10.9771]","(9.52198,11.5597]","[0,1.47387]","[0,1.75461]","[0.554317,2.87897]","[1.93695,4.64679]","[2.63871,5.21739]","[5.9364,7.45799]","[10.7926,12.0438]","(8.99123,11.0139]","[0,2.33789]","[8.29342,9.98116]","[3.33337,5.24522]","[2.87172,8.32327]","[4.26559,6.36451]","(7.25661,11.2234]","[0,3.54291]","[8.18493,10.5117]","[8.24745,9.25642]","[2.78094,4.15961]","(10.9332,13.2667]","(8.01235,10.7686]","[9.01258,10.09]","[7.85703,8.49909]","[0,8.90095]","(5.91147,14.5481]","[0.566742,8.25853]","(6.00141,13.4358]","[3.5907,6.0684]","[8.33287,10.0446]"
"[0,7.85043]","(10.0439,12.4237]","(5.09517,6.35858]","(9.60225,12.0172]","[2.22166,11.0072]","[0,5.92517]","[0,0.250154]","[3.24622,4.72992]","(5.042,5.81151]","[1.16122,9.62257]","(6.25877,7.28983]","[0.338448,3.36855]","[4.30164,6.1255]","(9.64374,10.8457]","(9.61875,10.9771]","[8.44177,9.52198]","(1.47387,8.61198]","(1.75461,9.23914]","(2.87897,8.85131]","(4.64679,8.88461]","(5.21739,8.03629]","(7.45799,8.66015]","(12.0438,13.863]","(8.99123,11.0139]","[0,2.33789]","[8.29342,9.98116]","[3.33337,5.24522]","(8.32327,13.1447]","[4.26559,6.36451]","(7.25661,11.2234]","[0,3.54291]","(10.5117,12.4609]","(9.25642,10.7705]","(4.15961,8.60088]","(10.9332,13.2667]","[5.80277,8.01235]","[9.01258,10.09]","(8.49909,10.3107]","(8.90095,10.5246]","(5.91147,14.5481]","[0.566742,8.25853]","(6.00141,13.4358]","[3.5907,6.0684]","(10.0446,12.2566]"
"[0,7.85043]","(10.0439,12.4237]","(5.09517,6.35858]","(9.60225,12.0172]","[2.22166,11.0072]","(5.92517,10.552]","[0,0.250154]","(4.72992,5.38433]","[3.60376,5.042]","[1.16122,9.62257]","(6.25877,7.28983]","[0.338448,3.36855]","[4.30164,6.1255]","(9.64374,10.8457]","[8.02899,9.61875]","(9.52198,11.5597]","(1.47387,8.61198]","(1.75461,9.23914]","(2.87897,8.85131]","(4.64679,8.88461]","(5.21739,8.03629]","(7.45799,8.66015]","[10.7926,12.0438]","(8.99123,11.0139]","(2.33789,7.621]","[8.29342,9.98116]","[3.33337,5.24522]","[2.87172,8.32327]","[4.26559,6.36451]","(7.25661,11.2234]","[0,3.54291]","[8.18493,10.5117]","(9.25642,10.7705]","(4.15961,8.60088]","(10.9332,13.2667]","(8.01235,10.7686]","(10.09,11.5656]","(8.49909,10.3107]","(8.90095,10.5246]","[0,5.91147]","[0.566742,8.25853]","(6.00141,13.4358]","[3.5907,6.0684]","(10.0446,12.2566]"
"[0,7.85043]","(10.0439,12.4237]","(5.09517,6.35858]","(9.60225,12.0172]","[2.22166,11.0072]","(5.92517,10.552]","(0.250154,3.37409]","[3.24622,4.72992]","[3.60376,5.042]","[1.16122,9.62257]","(6.25877,7.28983]","[0.338448,3.36855]","[4.30164,6.1255]","(9.64374,10.8457]","[8.02899,9.61875]","(9.52198,11.5597]","(1.47387,8.61198]","(1.75461,9.23914]","(2.87897,8.85131]","(4.64679,8.88461]","(5.21739,8.03629]","(7.45799,8.66015]","[10.7926,12.0438]","(8.99123,11.0139]","(2.33789,7.621]","[8.29342,9.98116]","[3.33337,5.24522]","[2.87172,8.32327]","[4.26559,6.36451]","(7.25661,11.2234]","[0,3.54291]","[8.18493,10.5117]","(9.25642,10.7705]","(4.15961,8.60088]","(10.9332,13.2667]","(8.01235,10.7686]","(10.09,11.5656]","(8.49909,10.3107]","(8.90095,10.5246]","[0,5.91147]","[0.566742,8.25853]","(6.00141,13.4358]","[3.5907,6.0684]","(10.0446,12.2566]"
"[0,7.85043]","(10.0439,12.4237]","(5.09517,6.35858]","(9.60225,12.0172]","[2.22166,11.0072]","(5.92517,10.552]","[0,0.250154]","[3.24622,4.72992]","[3.60376,5.042]","[1.16122,9.62257]","(6.25877,7.28983]","[0.338448,3.36855]","[4.30164,6.1255]","(9.64374,10.8457]","(9.61875,10.9771]","(9.52198,11.5597]","(1.47387,8.61198]","(1.75461,9.23914]","(2.87897,8.85131]","(4.64679,8.88461]","(5.21739,8.03629]","(7.45799,8.66015]","[10.7926,12.0438]","(8.99123,11.0139]","(2.33789,7.621]","(9.98116,11.713]","[3.33337,5.24522]","[2.87172,8.32327]","[4.26559,6.36451]","(7.25661,11.2234]","[0,3.54291]","[8.18493,10.5117]","(9.25642,10.7705]","(4.15961,8.60088]","(10.9332,13.2667]","(8.01235,10.7686]","(10.09,11.5656]","(8.49909,10.3107]","[0,8.90095]","(5.91147,14.5481]","[0.566742,8.25853]","(6.00141,13.4358]","[3.5907,6.0684]","(10.0446,12.2566]"
