,SARS_COV2,ACE2,Ang,AGTR1,ADAM17,Toci,Sil6R,EGF,TNF,Gefi,EGFR,PRR,NFKB,IL6STAT3,IL6AMP,cytok
0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0
1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
2,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1
3,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1
4,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
5,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0
6,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
7,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1
8,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1
9,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
10,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0
11,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0
12,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0
13,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
14,0,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0
15,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0
16,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
17,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0
18,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0
19,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1
20,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
21,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
22,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0
23,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0
24,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1
25,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1
26,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1
27,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0
28,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1
29,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
